"Name","Created","Runtime","End Time","Hostname","ID","Notes","Updated","Tags","model_name","checkpoint_dir","test_accuracy","test_f1","test_precision","test_recall","val_accuracy","val_f1","val_precision","val_recall"
"ru_model_train_en_seed43","2024-10-09T05:13:41.000Z","321","2024-10-09T05:19:02.000Z","gr007.hpc.nyu.edu","fnpa4phm","-","2024-10-09T05:19:02.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed43","0.4864864864864865","0.4253217996084427","0.4484527539962323","0.4864864864864865","0.519434628975265","0.45385395369555337","0.5341919807509113","0.519434628975265"
"ru_model_train_fr_seed45","2024-10-09T08:36:31.000Z","226","2024-10-09T08:40:17.000Z","gr007.hpc.nyu.edu","ue6bgp8c","-","2024-10-09T08:40:17.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed45","0.4972972972972973","0.4415259104052964","0.4386792149292149","0.4972972972972973","0.4484848484848485","0.38745182969800096","0.40046323338189366","0.4484848484848485"
"ru_model_train_fr_seed46","2024-10-09T08:40:18.000Z","227","2024-10-09T08:44:05.000Z","gr007.hpc.nyu.edu","08tf1vmt","-","2024-10-09T08:44:05.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed46","0.4540540540540541","0.42614525109151336","0.42874943909426666","0.4540540540540541","0.4484848484848485","0.42189331889257425","0.4182599721993493","0.4484848484848485"
"ru_model_train_fr_seed43","2024-10-09T08:28:55.000Z","228","2024-10-09T08:32:43.000Z","gr007.hpc.nyu.edu","ugbsxuo5","-","2024-10-09T08:32:43.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed43","0.4540540540540541","0.3812444194268163","0.5588974688974689","0.4540540540540541","0.42424242424242425","0.35775509893156954","0.42598173515981735","0.42424242424242425"
"ru_model_train_fr_seed43","2024-10-09T08:47:57.000Z","227","2024-10-09T08:51:44.000Z","gr007.hpc.nyu.edu","zw5oefxu","-","2024-10-09T08:51:44.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed43","0.2864864864864865","0.24862718402541417","0.2276609336609336","0.2864864864864865","0.296969696969697","0.24852799101048317","0.2769614261962017","0.296969696969697"
"ru_model_train_fr_seed45","2024-10-09T09:14:47.000Z","228","2024-10-09T09:18:35.000Z","gr007.hpc.nyu.edu","snsapmbu","-","2024-10-09T09:18:35.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed45","0.24864864864864863","0.09902889902889904","0.06182615047479913","0.24864864864864863","0.17575757575757575","0.05281833882870153","0.031079083518107908","0.17575757575757575"
"ru_model_train_ar_seed45","2024-10-09T07:02:39.000Z","247","2024-10-09T07:06:46.000Z","gr007.hpc.nyu.edu","sk6o0r2q","-","2024-10-09T07:06:46.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ar_seed45","0.39805825242718446","0.28931368513652905","0.23094337329261436","0.39805825242718446","0.3928571428571429","0.27087477180458297","0.2090217039196631","0.3928571428571429"
"ru_model_train_en_seed43","2024-10-09T06:07:42.000Z","324","2024-10-09T06:13:06.000Z","gr007.hpc.nyu.edu","vnhg9aqg","-","2024-10-09T06:13:06.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed43","0.18243243243243243","0.184943501073038","0.2506402605192928","0.18243243243243243","0.1802120141342756","0.18537015216230693","0.2484686185428235","0.1802120141342756"
"ru_model_train_fr_seed44","2024-10-09T08:32:44.000Z","226","2024-10-09T08:36:30.000Z","gr007.hpc.nyu.edu","rrp6ocke","-","2024-10-09T08:36:30.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed44","0.4648648648648649","0.425288291454439","0.41076203922503735","0.4648648648648649","0.48484848484848486","0.42851137710378834","0.42035674520778793","0.48484848484848486"
"ru_model_train_en_seed46","2024-10-09T06:23:57.000Z","326","2024-10-09T06:29:23.000Z","gr007.hpc.nyu.edu","12gep8zu","-","2024-10-09T06:29:23.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed46","0.26013513513513514","0.1147183672302657","0.3792200505003273","0.26013513513513514","0.21908127208480568","0.08433390870559317","0.3686816875007915","0.21908127208480568"
"ru_model_train_ru_seed43","2024-10-09T10:05:56.000Z","237","2024-10-09T10:09:53.000Z","gr007.hpc.nyu.edu","q66siwy9","-","2024-10-09T10:09:53.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_ru_seed43","0.10112359550561796","0.08583076340496529","0.07639612264472793","0.10112359550561796","0.10227272727272728","0.08710884076847933","0.0806686999868818","0.10227272727272728"
"ru_model_train_hi_seed44","2024-10-09T07:56:50.000Z","209","2024-10-09T08:00:19.000Z","gr007.hpc.nyu.edu","vs85tw52","-","2024-10-09T08:00:19.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_hi_seed44","0.2392638036809816","0.15589402644617367","0.21520775369782305","0.2392638036809816","0.24161073825503357","0.1561502990457928","0.14968193755471257","0.24161073825503357"
"ru_model_train_fr_seed46","2024-10-09T08:59:26.000Z","229","2024-10-09T09:03:15.000Z","gr007.hpc.nyu.edu","q3gkpac9","-","2024-10-09T09:03:15.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_fr_seed46","0.2648648648648649","0.1118825722273998","0.07092010042829716","0.2648648648648649","0.3151515151515151","0.15173961840628503","0.0999260901699926","0.3151515151515151"
"ru_model_train_en_seed46","2024-10-09T05:29:50.000Z","322","2024-10-09T05:35:12.000Z","gr007.hpc.nyu.edu","pnzt591c","-","2024-10-09T05:35:12.000Z","","DeepPavlov/rubert-base-cased","./results_rubert-base-cased_en_seed46","0.5202702702702703","0.5037622674597411","0.5164309709719058","0.5202702702702703","0.5477031802120141","0.5257275050377908","0.5195051301316593","0.5477031802120141"
